iter	Logloss
0	0.6836241022
1	0.6745612775
2	0.663177585
3	0.6519842375
4	0.6377488395
5	0.6324328591
6	0.6217975328
7	0.6123042837
8	0.6048167457
9	0.5973486161
10	0.5883957808
11	0.5773851331
12	0.5699157709
13	0.5632657934
14	0.5547872788
15	0.5514881682
16	0.5426716695
17	0.5368534494
18	0.5312099222
19	0.5237819785
20	0.5210495347
21	0.5122089071
22	0.5062853269
23	0.5016410381
24	0.4931615749
25	0.4885930968
26	0.4851438846
27	0.4816982843
28	0.4749181789
29	0.4703516658
30	0.4660904778
31	0.4597670644
32	0.4558902537
33	0.4509293638
34	0.4484221174
35	0.4447117385
36	0.4397916886
37	0.437052685
38	0.4336912492
39	0.4301557885
40	0.4255838517
41	0.4228194274
42	0.4196964074
43	0.4151155538
44	0.4097922946
45	0.4061177718
46	0.4029208919
47	0.3977877343
48	0.3949690814
49	0.3921916494
50	0.389188592
51	0.3861086825
52	0.3821009065
53	0.377923109
54	0.3748611619
55	0.372688628
56	0.3702364044
57	0.3633670393
58	0.3598632772
59	0.3549901462
60	0.3509672305
61	0.3471462452
62	0.3432758873
63	0.3384143898
64	0.3338919906
65	0.328567569
66	0.3265845335
67	0.323737016
68	0.3196182766
69	0.3167659714
70	0.3132122326
71	0.3110549025
72	0.3088168781
73	0.304218311
74	0.3023870387
75	0.2994632434
76	0.2951785675
77	0.2926589372
78	0.2910451421
79	0.2886371289
80	0.2843305058
81	0.2803557431
82	0.2772732959
83	0.2746679102
84	0.2716372608
85	0.2700211421
86	0.2660736465
87	0.2626030876
88	0.2587864694
89	0.254106358
90	0.2507996878
91	0.2490454141
92	0.2463196297
93	0.2428630407
94	0.2399366981
95	0.2379288873
96	0.2359839552
97	0.2339351546
98	0.2321439475
99	0.2305731245
